ss1,ss2,ss3
5.1560536618593515e-5,9.06781215099053e-5,4.4413213797702256e-5
9.250223706503152e-6,5.894925942023379e-6,1.8646779335461478e-5
7.64240528618106e-6,2.1383436560783666e-5,1.4947900351666543e-5
6.99701045185669e-6,6.539967559609546e-6,1.9011205139226547e-5
5.404508044728594e-7,9.848449645166459e-6,4.772503717005967e-6
1.3878830523491107e-5,3.1403148573756424e-6,1.304684905871639e-5
1.8468975870418325e-5,1.659399485792967e-5,2.167345139257724e-9
3.180501129559165e-6,3.710481357704701e-5,2.636947181690263e-6
3.920915432934708e-5,9.447665476122602e-6,1.8430899414006744e-5
3.762484658200659e-5,2.3582805248136302e-6,1.9743208397337522e-6
4.868724079183913e-5,2.491839589340761e-5,1.4426938673023489e-5
4.3991416328904266e-5,3.346098648932213e-5,1.1344698091250427e-5
4.402746033383814e-5,2.3946262875253118e-5,5.5803270585809726e-6
1.896899695830261e-5,1.4292318939726934e-5,2.5230391134645327e-5
1.8924840800247236e-5,4.613898856377123e-5,3.0279896474890754e-5
2.8356559730656302e-5,5.931054869857791e-6,7.553865065991655e-6
3.446803515699319e-5,3.7777016710633683e-6,3.6313287476773366e-5
1.2161454099976498e-6,5.303280361853372e-6,2.0327837296233442e-5
7.320607670940944e-5,4.0339713946078385e-5,6.956748203940148e-5
3.524213441736179e-5,1.1146992681251876e-5,6.901778964081414e-6
4.23261073318108e-5,2.729235126250636e-5,2.6020748305501028e-5
2.094863982137803e-5,6.029653606483177e-5,4.098112587496727e-5
1.8420607604169984e-5,6.758715030196005e-6,9.585160812570746e-6
1.1048143472381285e-6,8.151744040041403e-6,9.45706445213399e-6
4.110198257825999e-6,4.0517972689020744e-5,1.4005984663766831e-5
1.736378691040283e-5,1.172049662399573e-5,5.134601899190625e-5
3.0587821328305115e-5,1.0901216244012505e-5,7.901479856217935e-5
1.03519122748238e-5,3.174137857196687e-5,1.8332688707441943e-5
1.2898053273985674e-5,2.4838561799564412e-6,1.732604871645873e-5
2.954544369641067e-5,1.3939171301094005e-5,7.767668946659163e-6
3.647053272556257e-5,1.3516357306723992e-5,1.869588496082859e-5
4.856743569305251e-6,3.171078554612442e-5,2.572157446843542e-5
2.1422120344687482e-5,8.813110255867694e-6,3.127179133633298e-5
2.883190305184531e-6,1.1120656665273564e-5,7.550246626438581e-5
1.2004147769495557e-5,2.4792745870828234e-5,1.8951762286921918e-5
1.529207857678498e-5,5.680430319650362e-6,2.69153214420247e-5
2.9022309542533008e-5,2.7665215219804228e-5,1.0921331427637128e-5
7.772163033877336e-7,3.149405253417664e-5,3.934517495784407e-5
9.822859554628924e-6,1.2297934724371756e-5,7.715803026801716e-6
8.327022359962453e-6,3.059755033629675e-5,1.6359041383334514e-5
1.4680857719545055e-5,2.7953262945136074e-5,3.3348012470552124e-5
9.047072667712057e-7,2.927860433518794e-6,1.726949331073021e-5
